id,date,city,state,type,ideology,subideology,group,description,image
68224,11/8/2024,Indianapolis,IN,Antisemitic Incident:Vandalism,,,,"Graffiti was spray-painted under a bridge that read: ""Free Gaza"" with an inverted red triangle, a symbol that first appeared in propaganda videos promoted by Hamas, above a Star of David.",
68225,11/8/2024,Baltimore,MD,Antisemitic Incident:Harassment,,,,"An individual received a text from an unfamiliar number that read: ""Take a deep breath of some gas and die, you fucking Kike. TRUMP 2025?""",
68226,11/8/2024,Livingston,NJ,Antisemitic Incident:Vandalism,,,,A swastika was found carved into the paint of a bathroom stall at a middle/high school.,
68227,11/8/2024,Manhattan,NY,Antisemitic Incident:Vandalism,,,,A swastika was drawn in a bathroom stall at Grand Central Station.,
68228,11/8/2024,Norman,OK,Antisemitic Incident:Harassment,,,,"A student at the University of Oklahoma blamed Jews for the outcome of the presidential election in front of a Jewish student and said, ""The Jews turned their backs on America.""",
68229,11/8/2024,San Antonio,TX,Antisemitic Incident:Harassment,,,,"A group of teenagers chanted, ""Total Skibidi Zionist Death"" at a mall.",
68230,11/8/2024,Richmond,VA,Antisemitic Incident:Vandalism,,,,A swastika was painted on a vehicle sitting in a homeowner's driveway.,
68231,11/8/2024,Renton,WA,Antisemitic Incident:Harassment,,,,"A patron at a restaurant was approached by a man who blocked her path and asked, ""Are you a Jew?"" When she responded ""No,"" he said, ""There's things going on in this country.""",
68232,11/8/2024,La Crosse,WI,White Supremacist Event,Right Wing (White Supremacist),,Patriot Front (PF),"Approximately ten individuals associated with Patriot Front, a white supremacist group, dropped a banner from an overpass that read: ""Reclaim America"" and advertised the group's website.",
68233,11/8/2024,Madison,WI,White Supremacist Event,Right Wing (White Supremacist),,Patriot Front (PF),"Approximately seven individuals associated with Patriot Front, a white supremacist group, dropped a banner that read: ""America First,"" and advertised the group’s website.",
68214,11/7/2024,Tucson,AZ,Antisemitic Incident:Harassment,,,,"At an anti-Israel rally organized by Students for Justice in Palestine, the Party for Socialism and Liberation and Students for Socialism, protesters chanted, ""There is only one solution, intifada revolution, globalize the intifada,"" a slogan commonly used as a call for violence against Israel and the Jewish community.",
68215,11/7/2024,Livermore,CA,Antisemitic Incident:Harassment,,,,"During a high school football game, players repeatedly said, ""Shut up, Jew"" to a member of the opposing team.",
68216,11/7/2024,Pomona,CA,Antisemitic Incident:Vandalism,,,,A swastika was spray-painted on a public sidewalk.,
68217,11/7/2024,Bloomington,IN,Antisemitic Incident:Harassment,,,,"A student at Indiana University made multiple antisemitic comments during a class discussion, including stating that all Jews are Republicans.",
68218,11/7/2024,Kensington,MD,Antisemitic Incident:Harassment,,,,"A middle school student was called a ""kike"" by a classmate.",
68219,11/7/2024,Beverly,MA,Antisemitic Incident:Vandalism,,,,Swastika graffiti was written in a bathroom stall at a high school.,
68220,11/7/2024,Boston,MA,Antisemitic Incident:Vandalism,,,,"""Zionist Scum"" was written on the outside of a student's apartment, which was displaying an Israeli flag, at Northeastern University.",
68221,11/7/2024,Portland,OR,Antisemitic Incident:Vandalism,,,,Antisemitic graffiti was found in a bathroom at a high school.,
68213,11/6/2024,Los Angeles,CA,Antisemitic Incident:Vandalism,,,,A synagogue was vandalized with graffiti that included a swastika and SS-bolts.,
67934,11/5/2024,Santa Monica,CA,Antisemitic Incident:Vandalism,,,,A swastika was drawn in feces on a trash can in a public park.,
68207,11/5/2024,Los Angeles,CA,Antisemitic Incident:Harassment,,,,"An individual made antisemitic comments to their roommate, including, ""These Jews deserve nothing but to be destroyed.""",
68208,11/5/2024,Santa Monica,CA,Antisemitic Incident:Harassment,,,,"At an anti-Israel rally at Santa Monica College, protesters chanted, ""Long Live the Intifada,"" a slogan commonly used as a call for violence against Israel and the Jewish community. One protester performed a Nazi salute.",
68209,11/5/2024,Highland Park,MI,Antisemitic Incident:Harassment,,,Goyim Defense League (GDL),"Individuals associated with the antisemitic Goyim Defense League pasted dozens of fliers on a wall in public, including ones that read: ""Every single aspect of 9/11 is Jewish,"" ""Every single aspect of the media is Jewish,"" ""Every single aspect of the LGBTQ+ movement is Jewish"" and ""Every single aspect of mass immigration is Jewish.""",
